time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
2021;616;40;-3.13;-3.91;24.71;83
2032;617;40;-3.13;-3.91;24.71;83
2041;618;40;-3.13;-3.91;24.71;83
2051;619;40;-3.13;-3.91;24.71;83
2062;619;40;-3.13;-3.91;24.71;83
2074;620;40;-3.13;-3.91;24.71;83
2084;621;40;-3.13;-3.91;24.71;83
2104;621;40;-3.13;-3.91;24.71;83
2114;621;40;-3.13;-3.91;24.71;83
2121;621;40;-3.13;-3.91;24.71;83
2130;621;41;-3.13;-3.91;24.71;83
2144;621;41;-3.13;-3.91;24.71;83
2152;621;41;-3.13;-3.91;24.71;83
2162;621;41;-3.13;-3.91;24.71;83
2173;620;41;-3.13;-3.91;24.71;83
2184;620;41;-3.13;-3.91;24.71;83
2202;619;41;-3.13;-3.91;24.71;83
2212;619;41;-3.91;-3.91;24.71;83
2222;618;41;-3.91;-3.91;24.71;83
2232;618;41;-3.91;-3.91;24.71;83
2241;618;41;-3.91;-3.91;24.71;83
2253;618;41;-3.91;-3.91;24.71;83
2261;618;40;-3.91;-3.91;24.71;83
2272;618;40;-3.91;-3.91;24.71;83
2286;618;40;-3.91;-4.69;24.71;83
2303;618;40;-3.91;-4.69;24.71;83
2312;618;40;-3.91;-4.69;24.71;83
2320;618;40;-3.91;-4.69;24.71;83
2332;617;40;-3.91;-4.69;24.71;83
2342;617;40;-3.91;-4.69;24.71;83
2351;617;40;-3.91;-4.69;24.71;83
2363;617;40;-3.91;-4.69;24.71;83
2370;617;40;-3.91;-4.69;24.71;83
2385;617;40;-3.91;-4.69;24.71;83
2403;617;40;-3.91;-4.69;24.71;83
2413;617;40;-3.91;-4.69;24.71;83
2421;617;40;-3.91;-4.69;24.71;83
2434;617;40;-3.91;-4.69;24.71;83
2442;618;40;-3.91;-4.69;24.71;83
2451;619;40;-3.91;-4.69;24.71;83
2462;619;40;-3.91;-4.69;24.71;83
2471;620;40;-3.91;-4.69;24.71;83
2482;621;40;-3.91;-4.69;24.71;83
2491;621;40;-3.91;-4.69;24.71;83
2502;621;40;-3.91;-4.69;24.71;83
2513;621;40;-3.91;-4.69;24.71;83
2521;622;40;-3.91;-4.69;24.71;83
2531;622;40;-3.91;-4.69;24.71;83
2543;622;40;-3.91;-4.69;24.71;83
2554;622;40;-3.91;-4.69;24.71;83
2563;621;40;-3.91;-4.69;24.71;83
2572;620;40;-3.91;-4.69;24.71;83
2589;620;41;-3.91;-4.69;24.71;83
2602;619;41;-3.91;-4.69;24.71;83
2611;618;41;-3.91;-4.69;24.71;83
2623;619;41;-3.91;-4.69;24.71;83
2632;620;41;-3.91;-4.69;24.71;83
2641;621;41;-3.91;-4.69;24.71;83
2652;621;41;-3.91;-4.69;24.71;83
2664;622;41;-3.91;-4.69;24.71;83
2672;623;41;-3.91;-4.69;24.71;83
2684;623;41;-3.91;-4.69;24.71;83
2693;623;41;-3.91;-4.69;24.71;83
2701;623;41;-3.91;-4.69;24.71;83
2712;623;41;-3.91;-4.69;24.71;83
2721;622;41;-3.91;-4.69;24.71;83
2733;622;41;-3.91;-4.69;24.71;83
2742;622;41;-3.91;-4.69;24.71;83
2752;622;41;-3.91;-4.69;24.71;83
2763;622;41;-3.91;-4.69;24.71;83
